us diff,GForcesX_1,GForcesY_1,GForcesZ_1,Temp1,GForcesX_2,GForcesY_2,GForcesZ_2,Temp2
-1.143311,0.904053,1.361328,23.027060,-0.988770,-0.239990,1.385254,24.768236
2665,-1.163818,0.932129,1.355225,23.685883,-1.072021,-0.216553,1.274170,24.721176
5157,-1.135742,0.952881,1.416748,23.685883,-1.065918,-0.308350,1.336670,24.674118
3122,-1.126953,0.953369,1.411133,23.027060,-1.048828,-0.226562,1.338867,24.815294
2218,-1.152100,0.898438,1.365479,22.227058,-1.031006,-0.260498,1.334229,24.815294
2216,-1.141357,0.933350,1.393066,22.980000,-1.062500,-0.357910,1.324219,24.721176
2342,-1.150879,0.976074,1.389648,23.121176,-1.055908,-0.214600,1.322754,24.815294
4974,-1.138916,0.920654,1.385254,23.027060,-1.053467,-0.246826,1.328613,24.768236
2486,-1.145752,0.930176,1.385986,23.685883,-1.047607,-0.189697,1.331543,24.768236
8095,-1.151123,0.951660,1.386719,23.027060,-1.051025,-0.249268,1.334229,24.815294
2161,-1.136475,0.930908,1.383057,23.685883,-1.052002,-0.114258,1.334473,24.815294
1853,-1.153320,0.925781,1.377441,22.932941,-1.044678,-0.067383,1.332520,24.862352
2371,-1.147949,0.946045,1.392822,23.074118,-1.042725,-0.336914,1.331543,24.768236
1886,-1.142090,0.947510,1.388184,23.168236,-1.043457,-0.118896,1.336182,24.815294
2309,-1.145752,0.936035,1.388916,23.074118,-1.047119,-0.130615,1.314941,24.909412
2062,-1.139160,0.927734,1.385742,23.027060,-1.047852,-0.142090,1.322266,24.768236
1948,-1.143799,0.943848,1.384277,23.074118,-1.052002,-0.319092,1.335449,24.815294
2561,-1.154053,0.944336,1.384277,23.074118,-1.047852,-0.229492,1.329102,24.815294
1947,-1.142822,0.927734,1.385254,23.027060,-1.043701,-0.270020,1.324951,24.768236
2181,-1.141846,0.942627,1.374756,23.027060,-1.046387,-0.334961,1.330322,24.815294
2015,-1.155029,0.937744,1.383301,23.027060,-1.051758,-0.150879,1.322754,24.721176
2764,-1.142822,0.947021,1.385742,23.027060,-1.049072,-0.267090,1.333008,24.815294
1891,-1.150391,0.932129,1.377930,23.027060,-1.046143,-0.262695,1.338623,24.768236
3204,-1.143066,0.933594,1.380859,22.932941,-1.048340,-0.358887,1.326172,24.862352
1883,-1.149170,0.943359,1.390625,23.685883,-1.046143,-0.292969,1.327148,24.768236
2108,-1.145264,0.941406,1.375732,23.074118,-1.049072,-0.165283,1.340576,24.768236
1906,-1.141357,0.932129,1.387695,23.027060,-1.050049,-0.221680,1.343994,24.815294
2218,-1.136475,0.941162,1.388916,23.074118,-1.045654,-0.224609,1.335449,24.768236
2328,-1.151611,0.951660,1.383301,22.980000,-1.050293,-0.134766,1.329346,24.721176
1931,-1.148438,0.937744,1.382812,23.027060,-1.045654,-0.258301,1.330566,24.768236
2873,-1.144775,0.937256,1.376465,22.980000,-1.052979,-0.202881,1.328857,24.909412
